GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
EmergencyInstinct,,Comment,Metaprogress,{Key.St}가 50% 미만일 때 {Key.Dmg}<Select=0>+4% / +7% / +9%</} 증가합니다.,"When {Key.St} is below 50%, increases {Key.Dmg}<Select=0>+4% / +7% / +9%</} .",{Key.St}가 50%未満のとき、{Key.Dmg}<Select=0>+4% / +7% / +9%</} 増加します.,当{Key.St}低于50%时，{Key.Dmg}<Select=0>+4% / +7% / +9%</}增加。,當{Key.St}低於50%時，{Key.Dmg}<Select=0>+4% / +7% / +9%</} 提升。,"Quando {Key.St} estiver abaixo de 50%, {Key.Dmg}<Select=0>+4% / +7% / +9%</} aumenta.","Quando {Key.St} for inferior a 50%, {Key.Dmg}<Select=0>+4% / +7% / +9%</} aumenta.","Cuando {Key.St} esté por debajo del 50%, {Key.Dmg}<Select=0>+4% / +7% / +9%</} aumenta.","Cuando {Key.St} esté por debajo del 50%, {Key.Dmg}<Select=0>+4% / +7% / +9%</} aumenta.","Lorsque {Key.St} est inférieur à 50%, {Key.Dmg}<Select=0>+4% / +7% / +9%</} augmente.","Wenn {Key.St} unter 50% liegt, erhöht sich {Key.Dmg}<Select=0>+4% / +7% / +9%</} .","Если {Key.St} меньше 50%, {Key.Dmg}<Select=0>+4% / +7% / +9%</} увеличивается."
ComboOverdrive,,Title,Metaprogress,콤보 오버드라이브,Combo Overdrive,コンボオーバードライブ,连击超载,連擊超載,Overdrive de Combo,Overdrive de Combo,Overdrive de Combo,Overdrive de Combo,Combo overdrive,Kombo-Overdrive,Комбо овердрайв
ComboOverdrive,,Comment,Metaprogress,"50콤보 달성 시, {Key.ASpd}<Select=0>+5% / +8% / +10%</} 증가합니다.","When a 50-combo is achieved, increases {Key.ASpd}<Select=0>+5% / +8% / +10%</} .",50コンボ達成時、{Key.ASpd}<Select=0>+5% / +8% / +10%</} 増加します.,达到50连击时，{Key.ASpd}<Select=0>+5% / +8% / +10%</}增加。,達到50連擊時，{Key.ASpd}<Select=0>+5% / +8% / +10%</} 提升。,"Ao alcançar 50 combos, {Key.ASpd}<Select=0>+5% / +8% / +10%</} aumenta.","Ao atingir 50 combos, {Key.ASpd}<Select=0>+5% / +8% / +10%</} aumenta.","Al alcanzar 50 combos, {Key.ASpd}<Select=0>+5% / +8% / +10%</} aumenta.","Al alcanzar 50 combos, {Key.ASpd}<Select=0>+5% / +8% / +10%</} aumenta.","À 50 combos, {Key.ASpd}<Select=0>+5% / +8% / +10%</} augmente.",Bei 50 Combos erhöht sich {Key.ASpd}<Select=0>+5% / +8% / +10%</} .,"При достижении 50 комбо, {Key.ASpd}<Select=0>+5% / +8% / +10%</} увеличивается."
FocusedAssault,,Title,Metaprogress,집중 공격,Focused Assault,集中攻撃,集中攻击,集中攻擊,Assalto Focado,Assalto Focado,Asalto Concentrado,Asalto Concentrado,Assaut concentré,Fokussierter Angriff,Сфокусированная атака
FocusedAssault,,Comment,Metaprogress,{Key.Crit} 확률이 <Select=0>+3% / +6% / +8%</} 증가합니다.,{Key.Crit} chance is increased by <Select=0>+3% / +6% / +8%</} .,{Key.Crit}の確率が<Select=0>+3% / +6% / +8%</}増加します。,{Key.Crit} 几率 <Select=0>+3% / +6% / +8%</} 提高。,{Key.Crit} 的機率 <Select=0>+3% / +6% / +8%</} 增加。,A probabilidade de {Key.Crit} aumenta <Select=0>+3% / +6% / +8%</} ,{Key.Crit} A probabilidade aumenta <Select=0>+3% / +6% / +8%</} .,La probabilidad de {Key.Crit} aumenta <Select=0>+3% / +6% / +8%</} .,La probabilidad de {Key.Crit} aumenta <Select=0>+3% / +6% / +8%</} .,La probabilité de {Key.Crit} augmente de <Select=0>+3% / +6% / +8%</} .,{Key.Crit}-Wahrscheinlichkeit erhöht sich um <Select=0>+3% / +6% / +8%</} .,{Key.Crit} вероятность увеличивается на <Select=0>+3% / +6% / +8%</} .
LightweightFocus,,Title,Metaprogress,경량 집중,Lightweight Focus,軽量フォーカス,轻量集中,輕量集中,Foco Leve,Foco Leve,Enfoque Liviano,Enfoque Liviano,Focus léger,Leichtgewichts-Fokus,Легкий фокус
LightweightFocus,,Comment,Metaprogress,"{Dmg=-1}, {Key.ASpd}<Select=0>+5% / +8% / +11%</} 증가합니다.","{Dmg=-1}, {Key.ASpd} is increased by <Select=0>+5% / +8% / +11%</} .",{Dmg=-1}、{Key.ASpd}<Select=0>+5% / +8% / +11%</}が増加します。,{Dmg=-1}，{Key.ASpd}<Select=0>+5% / +8% / +11%</} 提高。,{Dmg=-1}，{Key.ASpd}<Select=0>+5% / +8% / +11%</} 增加。,"{Dmg=-1}, {Key.ASpd} aumenta <Select=0>+5% / +8% / +11%</} ","{Dmg=-1}, {Key.ASpd} aumenta <Select=0>+5% / +8% / +11%</} .","{Dmg=-1}, {Key.ASpd} aumenta <Select=0>+5% / +8% / +11%</} .","{Dmg=-1}, {Key.ASpd} aumenta <Select=0>+5% / +8% / +11%</} .","{Dmg=-1}, {Key.ASpd} augmente de <Select=0>+5% / +8% / +11%</} .","{Dmg=-1}, {Key.ASpd} erhöht sich um <Select=0>+5% / +8% / +11%</} .","{Dmg=-1}, {Key.ASpd}<Select=0>+5% / +8% / +11%</} увеличивается."
NeuralLink I,,Title,Metaprogress,신경망 연결 I,Neural Link I,神経網接続I,神经网络连接 I,神經網絡連接 I,Conexão de Rede Neural I,Conexão de rede neural I,Conexión de redes neuronales I,Conexión de red neuronal I,Lien neural I,Neurale Verbindung I,Связь нейросетей I
NeuralLink I,,Comment,Metaprogress,"추가 스킬 슬롯이  <Color=""#79D22A"">생성</}됩니다. {Input.Skill3}에 스킬을 장착할 수 있습니다.","<Color=""#79D22A"">Unlocks</} an additional skill slot. Skills can be equipped to {Input.Skill3}.","追加スキルスロットが<Color=""#79D22A"">解放</}される。{Input.Skill3}에スキルを装備できる。","<Color=""#79D22A"">解锁</}额外的技能槽。可在{Input.Skill3}装备技能。",解放額外技能槽。可以按 {Input.Skill3} 鍵來使用。,Libera um slot de habilidade adicional. Você pode usar pressionando a tecla {Input.Skill3}.,Desbloqueia um slot adicional de habilidade. Você pode usar pressionando a tecla {Input.Skill3}.,Se libera un espacio adicional para habilidades. Puedes usarlo presionando la tecla {Input.Skill3}.,Desbloquea un espacio adicional para habilidades. Puedes usarlo presionando la tecla {Input.Skill3}.,"Des emplacements de compétence supplémentaires sont <Color=""#79D22A"">libérés</} . Vous pouvez équiper une compétence dans {Input.Skill3}.","Zusätzlicher Skill-Slot wird <Color=""#79D22A"">freigesetzt</} . Sie können Skills in {Input.Skill3} ausrüsten.","Дополнительные слоты навыков <Color=""#79D22A"">освобождаются</} . Вы можете установить навыки на {Input.Skill3}."
ExecutionProtocol,,Title,Metaprogress,처형 프로토콜,Execution Protocol,処刑プロトコル,处决协议,處決協議,Protocolo de Execução,Protocolo de Execução,Protocolo de Ejecución,Protocolo de Ejecución,Protocole d'exécution,Hinrichtungsprotokoll,Протокол казни
ExecutionProtocol,,Comment,Metaprogress,대상의 {Key.L}이 <Select=0>5% / 7% / 9%</} 이하면 즉시 처형합니다.,Instantly execute targets with {Key.L} at <Select=0>5% / 7% / 9%</} or below.,対象の{Key.L}が<Select=0>5% / 7% / 9%</}以下なら即処刑。,目标{Key.L}为<Select=0>5% / 7% / 9%</}以下时立即处决。,目標{Key.L}為<Select=0>5% / 7% / 9%</}以下時立即處決。,Executa instantaneamente alvos com {Key.L} em <Select=0>5% / 7% / 9%</} ou menos.,Executa instantaneamente alvos com {Key.L} em <Select=0>5% / 7% / 9%</} ou menos.,Ejecuta instantáneamente objetivos con {Key.L} al <Select=0>5% / 7% / 9%</} o menos.,Ejecuta instantáneamente objetivos con {Key.L} al <Select=0>5% / 7% / 9%</} o menos.,Exécute instantanément les cibles avec {Key.L} à <Select=0>5% / 7% / 9%</} ou moins.,Ziele mit {Key.L} bei <Select=0>5% / 7% / 9%</} oder weniger sofort hinrichten.,Мгновенно казнит цели с {Key.L} <Select=0>5% / 7% / 9%</} или ниже.
NeuralLink II,,Title,Metaprogress,신경망 연결 II,Neural Link II,神経網接続II,神经网络连接 II,神經網絡連接 II,Conexão de Rede Neural II,Conexão de rede neural II,Conexión de redes neuronales II,Conexión de red neuronal II,Connexion neuronale II,Neuralverbindung II,Нейронная связь II
NeuralLink II,,Comment,Metaprogress,"추가 스킬 슬롯이  <Color=""#79D22A"">생성</}됩니다. {Input.Skill4}에 스킬을 장착할 수 있습니다.","<Color=""#79D22A"">Unlocks</} an additional skill slot. Skills can be equipped to {Input.Skill4}.","追加スキルスロットが<Color=""#79D22A"">解放</}되는。{Input.Skill4}에スキルを装備できる。","<Color=""#79D22A"">解锁</}额外的技能槽。可在{Input.Skill4}装备技能。",解放額外技能槽。可以按 {Input.Skill4} 鍵來使用。,Libera um slot de habilidade adicional. Você pode usar pressionando a tecla {Input.Skill4}.,Desbloqueia um slot adicional de habilidade. Você pode usar pressionando a tecla {Input.Skill4}.,Se libera un espacio adicional para habilidades. Puedes usarlo presionando la tecla {Input.Skill4}.,Desbloquea un espacio adicional para habilidades. Puedes usarlo presionando la tecla {Input.Skill4}.,"Des emplacements de compétence supplémentaires sont <Color=""#79D22A"">libérés</} . Vous pouvez équiper une compétence dans {Input.Skill4}.","Zusätzlicher Skill-Slot wird <Color=""#79D22A"">freigesetzt</} . Sie können Skills in {Input.Skill4} ausrüsten.","Дополнительные слоты навыков <Color=""#79D22A"">освобождаются</} . Вы можете установить навыки na {Input.Skill4}."
