GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
LigtningStatic,|,Comment,Skill,"전방으로 돌진하여 <Color=""#FFFFFF"">적을 모아</> {Elec=4} 줍니다. 피격된 적은 {Elec=+40%} 증가하고 <Color=""#FFFFFF"">즉시 발동</>됩니다.","Rushes forward, <Color=”#FFFFFF”>gathering enemies</>, dealing {Elec=4}. Inflicts {Elec=+40%} and <Color=”#FFFFFF”>triggers instantly</>","前方に突進し、<Color=""#FFFFFF"">敵を集めて</>{Elec=4}を与える。攻撃を受けた敵は{Elec=+40%}増加し、<Color=""#FFFFFF"">即時発動</>する。","向前冲锋，<Color=""#FFFFFF"">聚集敌人</}并施加{Elec=4}。被击中的敌人{Elec=+40%}且<Color=""#FFFFFF"">立即触发</}。","向前衝撞，<Color=""#FFFFFF"">聚集敵人</}，造成{Elec=4}。受擊的敵人{Elec=+40%}增強並<Color=""#FFFFFF"">立即觸發</}。","Avança para frente, <Color=""#FFFFFF"">agregando inimigos</} e causa {Elec=4}. Os inimigos atingidos têm {Elec=+40%} aumentado e <Color=""#FFFFFF"">são ativados imediatamente</}.","Avança para frente e <Color=""#FFFFFF"">reúne os inimigos</} causando {Elec=4} dano. Os inimigos atingidos têm {Elec=+40%} aumentado e são <Color=""#FFFFFF"">ativados imediatamente</}.","Carga hacia adelante y <Color=""#FFFFFF"">reúne a los enemigos</} para infligir {Elec=4}. Los enemigos golpeados aumentan {Elec=+40%} y <Color=""#FFFFFF"">se activan de inmediato</}.","Carga hacia adelante y <Color=""#FFFFFF"">reúne a los enemigos</} causando {Elec=4}. Los enemigos golpeados aumentan {Elec=+40%} y se <Color=""#FFFFFF"">activan de inmediato</}.","Foncer vers l'avant pour <Color=""#FFFFFF"">rassembler les ennemis</} et fournir {Elec=4}. Les ennemis touchés augmentent de {Elec=+40%} et s'<Color=""#FFFFFF"">activent immédiatement</}.","Stürmt vorwärts und <Color=""#FFFFFF"">versammelt Gegner</} {Elec=4}. Getroffene Gegner erleiden {Elec=+40%} erhöhten Schaden und werden <Color=""#FFFFFF"">sofort ausgelöst</}.","Рывок вперед, <Color=""#FFFFFF"">собирает врагов</} и дает {Elec=4}. Пораженные враги получают {Elec=+40%} и <Color=""#FFFFFF"">активируется мгновенно</}."
LigtningStatic,|,Damage,Skill,피해량 :{Dmg=28},Damage: {Dmg=28},ダメージ:{Dmg=28},伤害值：{Dmg=28},傷害量 :{Dmg=28},Dano: {Dmg=28},Dano: {Dmg=28},Daño: {Dmg=28},Daño :{Dmg=28},Dégâts : {Dmg=28},Schaden: {Dmg=28},Урон: {Dmg=28}
SpinAtk,|,Title,Skill,그래비티 크러쉬,Crushing Gravity,グラビティクラッシュ,漩涡,引력破碎,Redemoinho,Turbilhão,Torbellino,Torbellino,Gravité écrasante,Gravitationssturz,Гравитационный удар
SpinAtk,|,Comment,Skill,"빠르게 회전하여 적을 <Color=""#FFFFFF"">끌어 모아</} 내려 찍습니다. (거리 비례)","Rapidly spins and <Color=""#FFFFFF"">draws enemies together</} before delivering a vertical strike. (Distance-based)","素早く回転して敵を<Color=""#FFFFFF"">引き寄せ</}叩きつける。 (距離比例)","快速旋转并<Color=""#FFFFFF"">吸引</}敌人，随即下击。 (距离比例)(在空中使用)","快速旋轉將敵人<Color=""#FFFFFF"">吸引過來</}並狠狠地砸下去。(與距離成比例)","Roda rapidamente e <Color=""#FFFFFF"">atrai</} os inimigos para baixo. (proporcional à distância)","Gira rapidamente e <Color=""#FFFFFF"">reúne</} os inimigos para um golpe descendente. (Proporcional à distância)","Rueda rápidamente y <Color=""#FFFFFF"">atrae</} a los enemigos para golpearlos hacia abajo. (Proporcional a la distancia)","Rueda rápidamente y <Color=""#FFFFFF"">atrae</} a los enemigos para derribarlos. (Proporcional a la distancia)","Tourne rapidement pour <Color=""#FFFFFF"">attirer</} les ennemis et les frapper. (Proportionnel à la distance)","Schnell drehen und den Gegner <Color=""#FFFFFF"">ansammeln</} und dann niederschlagen. (Entfernung verhältnismäßig)","Быстро вращаясь, <Color=""#FFFFFF"">притягиваете</} врагов и резко ударяете. (Пропорционально расстоянию)"
SpinAtk,|,Damage,Skill,피해량 :{Dmg=10} x N번,Damage: {Dmg=10} x N hits,ダメージ:{Dmg=10}×N回,伤害值：{Dmg=10} x N次,傷害量 :{Dmg=10} x N次,Dano: {Dmg=10} x N vezes,Dano: {Dmg=10} x N vezes,Daño: {Dmg=10} x N veces,Daño :{Dmg=10} x N veces,Dégâts : {Dmg=10} x N fois,Schaden: {Dmg=10} x N Mal,Урон :{Dmg=10} x N раз
LightningThrust,|,Title,Skill,정전기,Static Electricity,静電気,雷刺穿透,閃電一擊,Zap,Zap,Zap,Zap,Électricité statique,Elektrostatischer Stoß,Электростатика
LightningThrust,|,Comment,Skill,"빠르게 찌르며 {Elec=5} 입힙니다. {Key.Elec}이 걸린 적에게 {Elec=+5} <Color=""#FFFFFF"">추가</}로 입힙니다.","Quick thrust dealing {Elec=5} damage. Deals an<Color=""#FFFFFF"">additional</} {Elec=+5} damage to enemies in the {Key.Elec} state.","素早く突いて{Elec=5}を与える。{Key.Elec}状態の敵には{Elec=+5}を<Color=""#FFFFFF"">追加</}で与える。","快速刺击，造成{Elec=5}伤害。对处于{Key.Elec}状态的敌人<Color=""#FFFFFF"">额外</}施加{Elec=+5}。","快速刺擊造成{Elec=5}的傷害。對於被{Key.Elec}影響的敵人，額外造成{Elec=+5}的傷害<Color=""#FFFFFF"">。","Ataca rapidamente com estocadas, causando {Elec=5}. Causa {Elec=+5} <Color=""#FFFFFF"">adicional</} a inimigos afetados por {Key.Elec}.","Ataca rapidamente com uma estocada e causa {Elec=5} de dano. Causa {Elec=+5} <Color=""#FFFFFF"">adicional</} a inimigos afetados por {Key.Elec}.","Apuñala rápidamente e inflige {Elec=5}. A los enemigos afectados por {Key.Elec}, inflige <Color=""#FFFFFF"">5 adicionales</} .","Apunta rápidamente y causa {Elec=5}. Causa {Elec=+5} <Color=""#FFFFFF"">adicional</} a los enemigos afectados por {Key.Elec}.","Transperce rapidement et inflige {Elec=5}. Inflige {Elec=+5} <Color=""#FFFFFF"">supplémentaires</} aux ennemis affectés par {Key.Elec}.","Sticht schnell zu und verursacht {Elec=5}. Verursacht {Elec=+5} <Color=""#FFFFFF"">zusätzlich</} bei Gegnern mit {Key.Elec}.","Быстро наносит колющий удар и наносит {Elec=5}. Наносит {Elec=+5} <Color=""#FFFFFF"">дополнительного</} урона врагам под действием {Key.Elec}."
LightningThrust,|,Damage,Skill,피해량 :{Dmg=7} x 3번,Damage: {Dmg=7} x 3 hits,ダメージ:{Dmg=7}×3回,伤害值：{Dmg=7} x 3次,傷害量 :{Dmg=7} x 3次,Dano: {Dmg=7} x 3 vezes,Dano: {Dmg=7} x 3 vezes,Daño: {Dmg=7} x 3 veces,Daño :{Dmg=7} x 3 veces,Dégâts : {Dmg=7} x 3 fois,Schaden: {Dmg=7} x 3 Mal,Урон :{Dmg=7} x 3 раза
CrossAtk,|,Title,Skill,크로스 커터,Cross Slash,クロスカッター,十字跃斩,神速交割,Cruz Rápida,Cruzada Rápida,Cruz Rápida,Cruz Rápida,Coupe croisée,Kreuzschneider,Крестовой резчик
CrossAtk,|,Comment,Skill,"두 번 십자로 베어 공격합니다. <Color=""#FFFFFF"">4초</} 동안 {ASpd=+10%} 증가합니다. 피격된 적이 <Color=""#FFFFFF"">3초</} 동안 {Key.Comminution} 상태가 됩니다.","Slashes twice in a cross pattern. Increases {ASpd=+10%} for <Color=""#FFFFFF"">4s</} . Hit enemies are afflicted with {Key.Comminution} for <Color=""#FFFFFF"">3s</} .","十字に<Color=""#FFFFFF"">2回</}斬りつける。<Color=""#FFFFFF"">4秒</}間{ASpd=+10%}増加する。命中した敵は<Color=""#FFFFFF"">3秒</}間{Key.Comminution}状態になる。","进行两次十字斩攻击。{ASpd=+10%}，持续<Color=""#FFFFFF"">4秒</}。命中的敌人会陷入{Key.Comminution}状态<Color=""#FFFFFF"">3秒</}。","進行兩次十字斬攻擊。{ASpd=+10%}增加<Color=""#FFFFFF"">4秒</}。被擊中的敵人會進入{Key.Comminution}狀態<Color=""#FFFFFF"">3秒</}。","Ataca duas vezes em padrão de corte em cruz. Aumenta {ASpd=+10%} por <Color=""#FFFFFF"">4 segundos</} . Inimigos atingidos ficam no estado {Key.Comminution} por <Color=""#FFFFFF"">3 segundos</} .","Ataca duas vezes em padrão de corte em cruz. Aumenta {ASpd=+10%} por <Color=""#FFFFFF"">4 segundos</} . Inimigos atingidos ficam no estado {Key.Comminution} por <Color=""#FFFFFF"">3 segundos</} .","Ataca dos veces con un corte en cruz. Aumenta {ASpd=+10%} durante <Color=""#FFFFFF"">4 segundos</} . Los enemigos golpeados quedan en estado {Key.Comminution} durante <Color=""#FFFFFF"">3 segundos</} .","Ataca en cruz dos veces. Aumenta {ASpd=+10%} durante <Color=""#FFFFFF"">4 segundos</} . Los enemigos golpeados entran en estado {Key.Comminution} durante <Color=""#FFFFFF"">3 segundos</} .","Effectue deux attaques en croix. {ASpd=+10%} est augmenté pendant <Color=""#FFFFFF"">4 secondes</} . Les ennemis touchés entrent dans l'état {Key.Comminution} pendant <Color=""#FFFFFF"">3 secondes</} .","Führt zwei kreuzförmige Angriffe aus. Erhöht {ASpd=+10%} für <Color=""#FFFFFF"">4 Sekunden</} . Getroffene Gegner befinden sich für <Color=""#FFFFFF"">3 Sekunden</} im Zustand {Key.Comminution}.","Наносит два крестообразных удара. {ASpd=+10%} увеличивается на <Color=""#FFFFFF"">4 с</} . Попавшие враги находятся в состоянии {Key.Comminution} в течение <Color=""#FFFFFF"">3 с</} ."
CrossAtk,|,Damage,Skill,피해량 :{Dmg=14} x 2번,Damage: {Dmg=14} x 2 hits,ダメージ:{Dmg=14}×2回,伤害值：{Dmg=14} x 2次,傷害量 :{Dmg=14} x 2次,Dano: {Dmg=14} x 2 vezes,Dano: {Dmg=14} x 2 vezes,Daño: {Dmg=14} x 2 veces,Daño :{Dmg=14} x 2 veces,Dégâts : {Dmg=14} x 2 fois,Schaden: {Dmg=14} x 2 Mal,Урон :{Dmg=14} x 2 раза
SpinFirePlunge,|,Title,Skill,플레임휠,Flame Wheel,フレームホイール,炎炎轮转,焰輪炎舞,Roda de Chamas,Roda de Chamas,Rueda Fulgor,Rueda Flamígera,Roue de flammes,Flammenrad,Огненное колесо
SpinFirePlunge,|,Comment,Skill,"전방으로 빠르게 회전하며 {Burn=4}를 입힙니다. {Key.ChgAtk} 시 <Color=""#FFFFFF"">적을 모읍니다.</}","Quickly spins forward to deal {Burn=4} damage. <Color=""#FFFFFF"">Gathers enemies</} when triggering {Key.ChgAtk}.","前方に高速回転し{Burn=4}を与える。{Key.ChgAtk}時<Color=""#FFFFFF"">敵を集める。</}","快速向前旋转，造成{Burn=4}伤害。当{Key.ChgAtk}时<Color=""#FFFFFF"">聚集敌人。</}","向前快速旋轉，造成{Burn=4}的傷害。{Key.ChgAtk}時<Color=""#FFFFFF"">聚集敵人</}。","Gira rapidamente para frente e causa {Burn=4}. Ao usar {Key.ChgAtk}, <Color=""#FFFFFF"">agrega inimigos.</}","Gira rapidamente para frente e causa {Burn=4} de dano. Ao ativar {Key.ChgAtk}, <Color=""#FFFFFF"">reúne os inimigos.</}","Gira rápidamente hacia adelante e inflige {Burn=4}. Al usar {Key.ChgAtk}, <Color=""#FFFFFF"">reúnes a los enemigos.</}","Gira rápidamente hacia adelante y causa {Burn=4}. Al usar {Key.ChgAtk}, <Color=""#FFFFFF"">reúnes a los enemigos.</}","Tourne rapidement vers l'avant et inflige {Burn=4}. Appuyez sur {Key.ChgAtk} pour <Color=""#FFFFFF"">rassembler les ennemis.</}","Dreht sich schnell vorwärts und verursacht {Burn=4}. Bei {Key.ChgAtk} <Color=""#FFFFFF"">werden Gegner gesammelt.</}","Быстро вращаясь вперед, наносит {Burn=4}. При {Key.ChgAtk} <Color=""#FFFFFF"">собирает врагов.</} "
